Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
1998,CA-2015-131905,2015-02-06,2015-02-09,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320.0,South,OFF-LA-10002787,Office Supplies,Labels,Avery 480,15.0
1999,CA-2015-131905,2015-02-06,2015-02-09,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320.0,South,TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone,161.61
2000,CA-2015-131905,2015-02-06,2015-02-09,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320.0,South,TEC-PH-10001615,Technology,Phones,AT&T CL82213,144.95
2001,CA-2018-166128,2018-04-11,2018-04-18,Standard Class,LW-17215,Luke Weiss,Consumer,United States,Pasadena,California,91104.0,West,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,199.95
2002,CA-2018-166128,2018-04-11,2018-04-18,Standard Class,LW-17215,Luke Weiss,Consumer,United States,Pasadena,California,91104.0,West,OFF-AR-10001221,Office Supplies,Art,"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",41.86
2003,CA-2018-163510,2018-12-25,2018-12-28,Second Class,JW-15955,Joni Wasserman,Consumer,United States,Louisville,Kentucky,40214.0,South,OFF-ST-10000563,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,95.94
2004,CA-2018-163510,2018-12-25,2018-12-28,Second Class,JW-15955,Joni Wasserman,Consumer,United States,Louisville,Kentucky,40214.0,South,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",304.45
2005,US-2018-143028,2018-04-11,2018-04-18,Standard Class,SC-20050,Sample Company A,Home Office,United States,Lubbock,Texas,79424.0,Central,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,11.364
2006,CA-2015-111150,2015-12-31,2016-01-04,Standard Class,RW-19630,Rob Williams,Corporate,United States,Columbia,Missouri,65203.0,Central,OFF-AR-10000034,Office Supplies,Art,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",29.68
2007,CA-2015-111150,2015-12-31,2016-01-04,Standard Class,RW-19630,Rob Williams,Corporate,United States,Columbia,Missouri,65203.0,Central,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,47.53
2008,CA-2018-165386,2018-08-03,2018-08-04,First Class,CM-12190,Charlotte Melton,Consumer,United States,Chicago,Illinois,60623.0,Central,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",183.372
2009,CA-2015-116407,2015-11-15,2015-11-21,Standard Class,JF-15190,Jamie Frazer,Consumer,United States,Johnson City,Tennessee,37604.0,South,OFF-AR-10001315,Office Supplies,Art,Newell 310,4.224
2010,CA-2015-116407,2015-11-15,2015-11-21,Standard Class,JF-15190,Jamie Frazer,Consumer,United States,Johnson City,Tennessee,37604.0,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",333.056
2011,CA-2015-116407,2015-11-15,2015-11-21,Standard Class,JF-15190,Jamie Frazer,Consumer,United States,Johnson City,Tennessee,37604.0,South,OFF-PA-10002137,Office Supplies,Paper,"Southworth 100% Résumé Paper, 24lb.",24.896
2012,CA-2016-155761,2016-12-11,2016-12-11,Same Day,SC-20800,Stuart Calhoun,Consumer,United States,Houston,Texas,77041.0,Central,TEC-AC-10001606,Technology,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,159.984
2013,CA-2016-155761,2016-12-11,2016-12-11,Same Day,SC-20800,Stuart Calhoun,Consumer,United States,Houston,Texas,77041.0,Central,OFF-ST-10000943,Office Supplies,Storage,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,46.344
2014,CA-2017-145905,2017-09-18,2017-09-23,Standard Class,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830.0,South,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,350.98
2015,CA-2017-145905,2017-09-18,2017-09-23,Standard Class,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830.0,South,OFF-PA-10000533,Office Supplies,Paper,Southworth Parchment Paper & Envelopes,13.08
2016,CA-2017-145905,2017-09-18,2017-09-23,Standard Class,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830.0,South,OFF-ST-10003716,Office Supplies,Storage,Tennsco Double-Tier Lockers,900.08
2017,CA-2016-113110,2016-03-19,2016-03-23,Standard Class,BK-11260,Berenike Kampe,Consumer,United States,San Bernardino,California,92404.0,West,OFF-BI-10000088,Office Supplies,Binders,GBC Imprintable Covers,17.568
2018,CA-2016-113110,2016-03-19,2016-03-23,Standard Class,BK-11260,Berenike Kampe,Consumer,United States,San Bernardino,California,92404.0,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62
2019,CA-2016-113110,2016-03-19,2016-03-23,Standard Class,BK-11260,Berenike Kampe,Consumer,United States,San Bernardino,California,92404.0,West,OFF-SU-10001165,Office Supplies,Supplies,Acme Elite Stainless Steel Scissors,33.36
2020,CA-2016-113110,2016-03-19,2016-03-23,Standard Class,BK-11260,Berenike Kampe,Consumer,United States,San Bernardino,California,92404.0,West,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",40.14
2021,CA-2017-168354,2017-09-19,2017-09-21,First Class,RH-19510,Rick Huthwaite,Home Office,United States,Providence,Rhode Island,2908.0,East,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",1606.23
